,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
131497,2017-01-25 15:57:00,2017-01-25 18:10:00,7954.191,17th & K St NW,Carlin Springs Rd & N Thomas St,Customer
398759,2017-02-28 15:53:00,2017-02-28 16:08:00,888.153,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Columbus Circle / Union Station,Subscriber
582231,2017-03-25 14:16:00,2017-03-25 14:35:00,1127.911,18th & R St NW,8th & D St NW,Subscriber
1357016,2017-06-01 05:49:59,2017-06-01 05:59:53,593.622,14th & Belmont St NW,7th & R St NW / Shaw Library,Subscriber
1679342,2017-06-25 12:57:31,2017-06-25 02:10:06,4355.38,14th & D St NW / Ronald Reagan Building,14th & D St NW / Ronald Reagan Building,Customer
403923,2017-03-01 10:13:00,2017-03-01 10:17:00,270.335,Veterans Pl & Pershing Dr ,Ripley & Bonifant St,Subscriber
847389,2017-04-16 06:55:41,2017-04-16 06:57:40,118.354,New Hampshire Ave & 24th St NW,24th & N St NW,Subscriber
1126235,2017-05-12 02:15:53,2017-05-12 02:33:15,1042.119,22nd & P ST NW,10th & K St NW,Customer
1416879,2017-06-05 11:32:28,2017-06-05 11:38:24,356.295,3rd & Elm St NW,7th & R St NW / Shaw Library,Subscriber
637581,2017-03-30 15:23:00,2017-03-30 15:34:00,663.5939999999999,20th & E St NW,14th & D St NW / Ronald Reagan Building,Subscriber
874774,2017-04-18 08:43:27,2017-04-18 08:46:32,185.352,Eastern Market / 7th & North Carolina Ave SE,1st & D St SE,Subscriber
1104030,2017-05-09 08:10:22,2017-05-09 08:24:15,833.419,Columbus Circle / Union Station,Jefferson Dr & 14th St SW,Subscriber
368705,2017-02-24 19:02:00,2017-02-24 19:09:00,447.74800000000005,21st & M St NW,C & O Canal & Wisconsin Ave NW,Subscriber
1355059,2017-06-01 04:41:13,2017-06-01 04:54:27,794.122,14th & V St NW,1st & Washington Hospital Center NW,Subscriber
230028,2017-02-08 13:11:00,2017-02-08 13:15:00,238.658,17th & G St NW,20th St & Virginia Ave NW,Subscriber
305817,2017-02-19 10:01:00,2017-02-19 10:10:00,587.0509999999999,11th & O St NW,Metro Center / 12th & G St NW,Subscriber
317145,2017-02-19 22:54:00,2017-02-19 23:40:00,2728.7259999999997,19th St & Constitution Ave NW,21st St & Constitution Ave NW,Customer
795979,2017-04-13 04:52:18,2017-04-13 05:14:00,1302.578,15th & L St NW,Connecticut Ave & Newark St NW / Cleveland Park,Subscriber
890782,2017-04-20 02:30:31,2017-04-20 03:04:51,2060.018,21st St & Constitution Ave NW,Jefferson Memorial,Customer
1521583,2017-06-13 09:20:29,2017-06-13 09:25:55,326.177,Madison & N Henry St,Saint Asaph & Madison St,Subscriber
1534265,2017-06-14 09:00:17,2017-06-14 09:03:56,219.023,Adams Mill & Columbia Rd NW,15th & Euclid St  NW,Subscriber
1512084,2017-06-13 02:06:02,2017-06-13 02:15:13,550.6469999999999,Connecticut Ave & R St NW,Adams Mill & Columbia Rd NW,Subscriber
49136,2017-01-11 20:00:00,2017-01-11 20:03:00,127.729,Central Library / N Quincy St & 10th St N,Wilson Blvd & N Quincy St,Subscriber
417977,2017-03-02 21:51:00,2017-03-02 22:00:00,543.56,8th & H St NW,14th & R St NW,Subscriber
1503283,2017-06-12 05:53:14,2017-06-12 05:59:24,369.58,Wilson Blvd & N Uhle St,21st St N & N Pierce St,Subscriber
440191,2017-03-06 16:56:00,2017-03-06 16:59:00,216.303,39th & Veazey St NW,Van Ness Metro / UDC,Subscriber
142964,2017-01-26 19:28:00,2017-01-26 19:32:00,268.783,11th & M St NW,7th & F St NW/Portrait Gallery,Subscriber
460995,2017-03-08 18:29:00,2017-03-08 18:39:00,568.243,1st & H St NW,13th & H St NE,Subscriber
1077673,2017-05-07 03:55:07,2017-05-07 04:14:50,1182.397,4th St & Madison Dr NW,New York Ave & 15th St NW,Customer
747817,2017-04-09 12:04:26,2017-04-09 02:26:32,8525.019,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Lincoln Memorial,Customer
1084077,2017-05-07 12:35:42,2017-05-07 01:20:29,2686.5359999999996,15th & W St NW,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Customer
1727292,2017-06-29 05:24:53,2017-06-29 05:51:23,1590.865,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
568889,2017-03-24 13:27:00,2017-03-24 13:29:00,112.686,16th & K St NW,17th & K St NW,Subscriber
52359,2017-01-12 10:36:00,2017-01-12 10:46:00,561.007,19th & K St NW,Metro Center / 12th & G St NW,Subscriber
948220,2017-04-26 05:46:01,2017-04-26 06:08:14,1332.851,14th & Rhode Island Ave NW,5th & F St NW,Subscriber
590016,2017-03-25 20:42:00,2017-03-25 21:18:00,2171.291,Smithsonian-National Mall / Jefferson Dr & 12th St SW,3rd & D St SE,Customer
290641,2017-02-17 15:10:00,2017-02-17 15:15:00,324.328,1st & N St  SE,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Subscriber
455744,2017-03-08 11:50:00,2017-03-08 11:56:00,381.596,7th & T St NW,8th & H St NW,Subscriber
1223270,2017-05-20 04:43:44,2017-05-20 05:05:36,1311.5739999999998,15th & W St NW,1st & O St NW,Subscriber
574407,2017-03-24 21:21:00,2017-03-24 21:39:00,1026.575,15th & East Capitol St NE,5th & F St NW,Subscriber
241950,2017-02-10 07:03:00,2017-02-10 07:09:00,343.03,Adams Mill & Columbia Rd NW,14th & Irving St NW,Subscriber
1466776,2017-06-09 07:54:56,2017-06-09 08:06:05,669.1469999999999,22nd St & Constitution Ave NW,18th & M St NW,Customer
873671,2017-04-18 08:08:39,2017-04-18 08:35:39,1619.422,Lee Hwy & N Scott St,15th & Crystal Dr,Subscriber
207988,2017-02-06 07:21:00,2017-02-06 07:29:00,477.67,Columbia Rd & Georgia Ave NW,Park Rd & Holmead Pl NW,Subscriber
241670,2017-02-09 23:07:00,2017-02-09 23:13:00,343.523,Barcroft Community Center,George Mason Dr & Wilson Blvd,Subscriber
1197538,2017-05-18 06:19:12,2017-05-18 06:29:09,597.42,17th St & Massachusetts Ave NW,Adams Mill & Columbia Rd NW,Subscriber
1527613,2017-06-14 05:35:44,2017-06-14 05:41:23,338.574,31st & Water St NW,New Hampshire Ave & 24th St NW,Subscriber
848005,2017-04-16 07:39:55,2017-04-16 07:51:31,696.4,10th & G St NW,Thomas Circle,Customer
441535,2017-03-06 18:04:00,2017-03-06 18:23:00,1170.388,Eckington Pl & Q St NE,8th & Eye St SE / Barracks Row,Subscriber
1394343,2017-06-04 01:08:49,2017-06-04 01:12:59,249.727,15th & L St NW,15th & P St NW,Subscriber
438083,2017-03-06 11:59:00,2017-03-06 12:03:00,199.43099999999998,14th & Rhode Island Ave NW,17th & Rhode Island Ave NW,Subscriber
1403802,2017-06-04 10:30:35,2017-06-04 10:43:41,786.43,2nd & G St NE,14th & R St NW,Subscriber
855439,2017-04-17 04:01:34,2017-04-17 04:05:53,258.932,3rd & H St NW,Columbus Circle / Union Station,Subscriber
1347499,2017-05-31 08:00:30,2017-05-31 08:12:36,726.087,Jefferson Dr & 14th St SW,Hains Point/Buckeye & Ohio Dr SW,Customer
947107,2017-04-26 05:07:57,2017-04-26 05:17:15,558.155,Potomac Ave & 8th St SE,15th & F St NE,Subscriber
662007,2017-04-02 04:41:33,2017-04-02 04:57:04,931.596,17th St & Independence Ave SW,21st & I St NW,Customer
1564349,2017-06-17 01:37:17,2017-06-17 02:37:40,3623.547,14th & G St NW,8th & D St NW,Customer
1566364,2017-06-17 03:25:22,2017-06-17 03:36:36,674.428,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Jefferson Memorial,Customer
1020210,2017-05-01 08:14:41,2017-05-01 08:22:19,458.207,14th & Rhode Island Ave NW,18th & M St NW,Subscriber
1672492,2017-06-25 06:44:07,2017-06-25 07:04:05,1198.104,Eastern Market Metro / Pennsylvania Ave & 7th St SE,8th & D St NW,Subscriber
424926,2017-03-03 23:27:00,2017-03-03 23:32:00,318.422,Calvert St & Woodley Pl NW,16th & Harvard St NW,Subscriber
818493,2017-04-14 08:18:57,2017-04-14 09:09:29,3032.3309999999997,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
684191,2017-04-04 04:51:59,2017-04-04 05:04:28,748.4960000000001,Columbus Circle / Union Station,Bladensburg Rd & Benning Rd NE,Subscriber
595747,2017-03-26 16:12:00,2017-03-26 16:24:00,712.533,4th St & Madison Dr NW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
942548,2017-04-25 08:44:50,2017-04-25 08:56:21,691.1080000000001,18th & M St NW,13th St & New York Ave NW,Subscriber
836810,2017-04-15 10:20:35,2017-04-15 10:29:53,557.841,11th & F St NW,10th & K St NW,Subscriber
443263,2017-03-06 20:42:00,2017-03-06 20:50:00,455.94,Convention Center / 7th & M St NW,15th & P St NW,Subscriber
8178,2017-01-03 18:12:00,2017-01-03 18:22:00,601.19,Wilson Blvd & N Edgewood St,Glebe Rd & 11th St N,Subscriber
1202791,2017-05-18 09:30:39,2017-05-18 09:33:39,180.67700000000002,11th & Kenyon St NW,10th & Florida Ave NW,Subscriber
198932,2017-02-04 13:09:00,2017-02-04 13:29:00,1158.0810000000001,Columbus Circle / Union Station,15th & K St NW,Subscriber
1262778,2017-05-23 12:24:45,2017-05-23 01:41:38,4612.78,Lincoln Memorial,8th & H St NW,Customer
70106,2017-01-15 12:27:00,2017-01-15 12:34:00,404.56300000000005,Pentagon City Metro / 12th & S Hayes St,23rd & Eads St,Subscriber
333308,2017-02-21 17:36:00,2017-02-21 17:49:00,787.23,23rd & E St NW ,19th & L St NW,Subscriber
